id,Backtrack,MCTS,DeepIterativeSolver,AlphaSudoku,clues,difficulty
78,5731,3013,59,82,22,1.3
79,2034,1239,53,194,23,1.5
80,9180,417,57,193,23,2.2
81,276,307,57,80,24,0.0
82,469,152,57,80,24,1.6
83,551,135,57,379,23,1.3
84,1534,1899,58,81,23,1.0
85,3394,3156,55,78,26,0.0
86,3529,357,47,1819,26,3.1
87,55,92,55,78,26,0.0
88,1427,102,53,138,24,1.6
89,920,1361,58,81,23,0.0
90,647,507,57,80,24,0.0
91,174,219,56,123,24,3.4
92,202,364,56,289,24,1.6
93,1039,80,57,80,24,1.8
94,470,174,57,707,21,1.2
95,292,428,46,390,24,1.9
96,169,176,57,80,24,1.0
97,2715,1246,38,273,23,2.4
98,151,225,59,82,22,1.4
99,56,201,52,104,25,1.0
100,7488,948,57,80,24,1.4
101,217,627,58,81,23,1.2
102,484,2293,57,80,24,0.0
103,3687,543,48,352,23,4.5
104,118,1082,58,81,23,1.6
105,57,178,57,80,24,0.0
106,723,915,57,80,24,3.3
107,355,141,56,807,24,0.0
108,566,240,54,77,27,2.5
109,1413,345,56,79,25,0.0
110,269,191,57,80,24,4.2
111,419,349,58,81,23,0.0
112,292,194,55,78,26,0.0
113,1085,1226,56,79,25,2.7
114,2180,3606,57,80,24,1.3
115,1354,410,57,80,24,2.9
116,695,305,58,81,23,0.0
117,141,636,49,678,23,2.6
118,114,376,58,81,23,1.5
119,108,199,55,78,26,0.0
120,547,1190,56,79,25,2.8
121,3817,2522,59,82,22,0.0
122,586,735,52,145,25,0.0
123,3761,318,58,81,23,0.0
124,2491,297,32,244,26,2.7
125,124,595,58,81,23,1.1
126,487,1807,48,164,24,4.1
127,97,78,55,78,26,0.0
128,569,756,57,80,24,1.2
129,4707,118,57,165,23,1.7
130,1320,2432,58,81,23,0.0
131,314,604,58,81,23,0.0
132,144,280,56,79,25,1.6
133,559,138,56,140,24,2.0
134,85,80,57,80,24,0.0
135,945,623,51,98,26,4.4
136,139,698,56,79,25,0.0
137,454,210,56,79,25,0.0
138,133,341,57,80,24,0.0
139,1660,544,58,81,23,0.0
140,2604,419,57,80,24,1.2
141,296,251,53,214,25,1.1
142,140,173,55,78,26,1.2
143,191,194,55,210,24,1.4
144,61,572,55,78,26,0.0
145,99,475,56,739,24,1.3
146,185,173,49,342,23,1.1
147,78,315,56,79,25,1.8
148,1505,2506,58,81,23,0.0
149,11907,4683,59,82,22,2.2
150,134,240,57,807,23,1.2
151,620,132,56,79,25,1.0
152,263,145,56,79,25,0.0
153,66,592,56,79,25,1.3
154,223,160,58,81,23,1.2
155,922,453,46,671,23,1.4
156,247,343,55,1545,24,1.6
157,534,1375,54,77,27,0.0
158,437,194,55,78,26,1.1
159,1670,1429,45,175,24,1.3
160,88,465,57,80,24,1.2
161,1781,336,54,172,25,3.0
162,234,219,56,79,25,0.0
163,3063,2608,58,81,23,0.0
164,699,104,55,422,25,2.5
165,691,108,57,80,24,0.0
166,101,211,55,78,26,0.0
167,56,79,56,79,25,0.0
168,266,605,54,77,27,0.0
169,1074,1115,56,606,24,4.2
170,78,81,58,81,23,1.0
171,548,641,56,79,25,2.2
172,411,148,57,80,24,0.0
173,722,126,54,284,24,2.5
174,819,183,55,675,25,1.4
175,198,419,57,80,24,1.3
176,55,225,55,78,26,0.0
177,55,78,55,78,26,0.0
178,1092,442,54,222,26,3.5
179,769,827,58,81,23,0.0
180,555,620,55,118,25,2.5
181,1063,794,39,377,25,1.6
182,227,162,57,80,24,1.2
183,2012,223,58,81,23,0.0
184,498,169,57,80,24,1.5
185,8808,1602,58,81,23,1.7
186,242,245,55,78,26,1.0
187,182,559,59,82,22,1.9
188,298,1351,58,81,23,2.2
189,303,668,57,80,24,0.0
190,1254,330,56,193,23,2.2
191,602,645,55,250,25,0.0
192,58,93,58,81,23,0.0
193,895,2142,55,212,25,1.9
194,980,80,56,3714,24,1.9
195,527,1933,54,77,27,5.1
196,244,78,55,78,26,0.0
197,138,155,57,80,24,1.6
198,540,1975,54,77,27,3.6
199,191,159,54,534,26,1.5
200,57,90,44,103,24,3.6
201,1785,2449,57,80,24,3.0
202,57,171,57,80,24,0.0
203,91,174,57,80,24,1.5
204,242,754,57,80,24,1.9
205,159,509,55,489,24,2.3
206,55,78,55,78,26,0.0
207,705,122,55,336,25,1.5
208,188,1754,56,79,25,0.0
209,323,156,55,749,25,1.1
210,443,129,56,121,24,1.4
211,67,103,57,80,24,2.6
212,236,197,57,80,24,1.3
213,271,377,54,306,26,1.8
214,238,279,51,664,25,1.4
215,717,494,57,80,24,2.0
216,4918,3868,56,79,25,3.0
217,1014,495,56,79,25,0.0
218,79,550,43,110,24,1.7
219,411,102,56,339,23,0.0
220,302,374,49,862,25,0.0
221,698,2509,56,79,25,0.0
222,230,260,52,427,25,1.5
223,102,532,56,79,25,0.0
224,108,165,55,637,25,1.0
225,205,115,55,78,26,1.6
226,1241,2357,56,79,25,0.0
227,316,1231,54,933,25,0.0
228,103,79,55,126,25,2.0
229,8188,341,57,80,24,0.0
230,57,80,57,80,24,0.0
231,450,396,58,81,23,1.0
232,104,203,58,81,23,1.3
233,1636,124,56,130,24,3.9
234,141,112,56,79,25,0.0
235,395,1775,57,80,24,0.0
236,55,78,55,78,26,0.0
237,172,146,53,513,26,0.0
238,1039,1555,26,147,25,2.3
239,2723,2493,57,80,24,1.2
240,61,102,55,78,26,0.0
241,597,2719,56,154,24,3.3
242,104,384,56,1026,24,1.0
243,312,1097,56,114,24,2.4
244,3291,1659,56,121,24,1.8
245,953,1855,57,80,24,1.8
246,268,2553,47,108,22,3.2
247,9230,1491,56,150,24,3.8
248,329,284,55,78,26,0.0
249,118,160,56,79,25,0.0
250,2104,569,47,1961,23,0.0
251,829,249,58,913,22,3.0
252,543,566,56,79,25,0.0
253,200,256,55,78,26,1.5
254,351,1041,55,372,25,1.9
255,174,81,57,453,23,2.0
256,5586,433,54,153,23,3.4
257,314,1274,55,111,23,1.5
258,3207,4517,55,156,25,2.1
259,77,78,33,421,26,2.0
260,537,791,51,502,24,3.1
261,1666,843,56,79,25,0.0
262,209,400,54,1804,26,1.6
263,1341,2212,56,206,24,0.0
264,1247,255,56,79,25,3.6
265,485,1026,55,78,26,0.0
266,175,294,54,686,25,1.8
267,281,256,56,1027,24,1.9
268,4573,2145,55,2757,25,4.2
269,1716,3501,57,181,23,4.6
270,75,198,57,80,24,0.0
271,187,379,54,77,27,0.0
272,731,1569,57,80,24,0.0
273,100,408,57,80,24,0.0
274,573,1811,56,112,24,2.3
275,5095,397,50,240,25,0.0
276,197,163,57,80,24,0.0
277,349,685,59,82,22,1.2
278,90,208,54,179,25,2.8
279,2916,1960,43,128,24,2.5
280,325,451,50,122,23,2.0
281,2073,1145,58,174,22,3.0
282,1198,160,57,80,24,0.0
283,177,104,56,400,24,1.0
284,65,189,57,80,24,0.0
285,57,113,57,80,24,1.5
286,264,234,57,80,24,0.0
287,495,2772,56,350,24,0.0
288,58,111,55,226,23,3.0
289,99,234,57,80,24,0.0
290,392,179,56,79,25,1.6
291,154,453,57,80,24,0.0
292,474,158,56,2551,24,3.4
293,2075,93,57,80,24,3.3
294,1633,2140,57,80,24,2.0
295,2658,1196,57,80,24,0.0
296,91,407,57,80,24,0.0
297,635,2707,56,79,25,1.2
298,1512,2917,58,238,22,2.8
299,565,2203,54,2271,25,3.3
300,1088,2526,51,172,25,2.9
301,1491,720,57,80,24,5.5
302,1585,3604,58,81,23,2.6
303,272,464,56,79,25,1.2
304,379,248,57,80,24,0.0
305,466,269,57,80,24,2.0
306,380,1084,57,1007,23,2.2
307,525,157,55,285,25,1.6
308,56,1488,56,79,25,0.0
309,325,330,54,894,26,2.7
310,751,243,57,80,24,1.5
311,82,275,56,79,25,0.0
312,334,717,56,640,24,0.0
313,814,195,55,636,24,3.3
314,253,112,58,81,23,0.0
315,1577,134,56,79,25,0.0
316,211,99,56,79,25,0.0
317,166,98,58,81,23,0.0
318,1102,201,55,319,25,3.3
319,58,143,58,81,23,1.4
320,827,256,58,81,23,0.0
321,236,142,56,79,25,1.4
322,4000,4831,53,411,23,3.2
323,135,167,56,79,25,0.0
324,219,103,47,375,26,2.2
325,724,169,54,387,25,4.4
326,264,1223,56,79,25,2.5
327,1476,1332,58,81,23,0.0
328,237,424,56,79,25,0.0
329,183,113,57,80,24,2.9
330,775,2319,58,81,23,2.4
350,1535,2001,51,1546,24,1.4
351,628,786,51,1089,24,1.0
352,674,125,58,81,23,0.0
353,186,274,56,79,25,1.5
354,246,606,58,81,23,1.5
355,774,141,52,434,24,0.0
356,179,1716,55,78,26,1.3
357,1386,1567,46,451,24,2.3
358,899,500,57,80,24,0.0
359,829,778,57,80,24,0.0
360,56,183,56,79,25,0.0
361,625,266,56,79,25,2.9
362,58,81,58,81,23,0.0
363,2491,2443,56,79,25,3.9
364,2885,2732,56,79,25,0.0
365,56,79,56,79,25,0.0
366,347,283,58,81,23,0.0
367,83,715,57,80,24,0.0
368,1335,519,58,81,23,1.0
369,187,304,55,155,25,2.6
370,458,2048,56,79,25,2.1
371,1651,448,57,149,23,1.0
372,2231,366,54,579,26,3.1
373,56,313,55,462,25,2.7
374,21398,4819,57,169,22,2.5
375,589,206,56,79,25,2.1
376,2535,709,56,79,25,1.5
377,325,604,57,80,24,2.1
378,789,177,56,79,25,1.3
379,222,285,56,79,25,0.0
380,717,80,56,349,24,1.0
381,56,333,56,79,25,1.4
382,72,488,58,81,23,0.0
383,103,502,50,231,23,0.0
384,226,79,56,79,25,1.7
385,3787,240,57,80,24,0.0
386,790,169,57,80,24,2.2
387,353,92,54,169,26,1.8
388,246,649,57,80,24,1.1
389,128,79,56,79,25,1.3
390,920,2211,57,1140,23,2.7
391,805,176,54,649,25,3.2
392,144,78,50,281,26,1.3
393,317,950,56,79,25,0.0
394,164,455,55,425,25,0.0
395,70,3097,54,415,25,2.7
396,157,448,58,81,23,1.5
397,239,153,55,555,25,3.8
398,136,520,54,77,27,3.0
399,991,2638,57,80,24,0.0
400,57,90,44,103,24,1.2
401,1785,2449,57,80,25,1.5
402,57,171,57,80,24,1.9
403,91,174,57,80,24,0.0
404,242,754,57,80,24,0.0
405,159,509,55,489,24,0.0
406,55,78,55,78,25,1.9
407,705,122,55,336,23,0.0
408,188,1754,56,79,24,0.0
409,323,156,55,749,24,1.4
410,443,129,56,121,23,2.5
411,67,103,57,80,23,0.0
412,236,197,57,80,25,3.8
413,271,377,54,306,24,1.6
414,238,279,51,664,23,3.6
415,717,494,57,80,24,2.5
416,4918,3868,56,79,24,3.0
417,1014,495,56,79,25,0.0
418,79,550,43,110,26,0.0
419,411,102,56,339,25,2.6
420,302,374,49,862,23,2.8
421,698,2509,56,79,24,2.5
422,230,260,52,427,23,1.2
423,102,532,56,79,24,1.3
424,108,165,55,637,26,0.0
425,205,115,55,78,26,1.2
426,1241,2357,56,79,25,2.1
427,316,1231,54,933,25,1.4
428,103,79,55,126,25,0.0
429,8188,341,57,80,25,0.0
430,57,80,57,80,23,0.0
431,450,396,58,81,24,2.4
432,104,203,58,81,22,0.0
433,1636,124,56,130,23,1.4
434,141,112,56,79,23,3.1
435,395,1775,57,80,25,2.4
436,55,78,55,78,23,3.0
437,172,146,53,513,24,0.0
438,1039,1555,26,147,24,3.7
439,2723,2493,57,80,25,3.2
440,61,102,55,78,23,3.5
441,597,2719,56,154,24,0.0
442,104,384,56,1026,25,2.0
443,312,1097,56,114,24,1.3
444,3291,1659,56,121,25,4.0
445,953,1855,57,80,24,0.0
446,268,2553,47,108,24,0.0
447,9230,1491,56,150,23,0.0
448,329,284,55,78,25,2.0
449,118,160,56,79,27,1.5
450,2104,569,47,1961,24,0.0
451,829,249,58,913,25,2.3
452,543,566,56,79,25,2.7
453,200,256,55,78,24,5.0
454,351,1041,55,372,24,1.2
455,174,81,57,453,25,2.7
456,5586,433,54,153,23,2.0
457,314,1274,55,111,24,2.1
458,3207,4517,55,156,25,3.0
459,77,78,33,421,25,3.0
460,537,791,51,502,24,1.7
461,1666,843,56,79,24,3.2
462,209,400,54,1804,24,2.5
463,1341,2212,56,206,23,3.1
464,1247,255,56,79,26,2.4
465,485,1026,55,78,23,0.0
466,175,294,54,686,24,0.0
467,281,256,56,1027,25,2.1
468,4573,2145,55,2757,25,2.6
469,1716,3501,57,181,25,0.0
470,75,198,57,80,25,1.5
471,187,379,54,77,25,2.7
472,731,1569,57,80,26,0.0
473,100,408,57,80,24,0.0
474,573,1811,56,112,25,1.4
475,5095,397,50,240,24,1.4
476,197,163,57,80,24,1.1
477,349,685,59,82,26,1.1
478,90,208,54,179,24,0.0
479,2916,1960,43,128,25,1.3
480,325,451,50,122,24,4.6
481,2073,1145,58,174,25,0.0
482,1198,160,57,80,25,0.0
483,177,104,56,400,24,1.6
484,65,189,57,80,25,2.8
485,57,113,57,80,23,1.7
486,264,234,57,80,24,0.0
487,495,2772,56,350,24,0.0
488,58,111,55,226,25,0.0
489,99,234,57,80,26,0.0
490,392,179,56,79,24,0.0
491,154,453,57,80,27,1.3
492,474,158,56,2551,23,0.0
493,2075,93,57,80,25,0.0
494,1633,2140,57,80,22,1.0
495,2658,1196,57,80,24,2.2
496,91,407,57,80,26,0.0
497,635,2707,56,79,24,1.4
498,1512,2917,58,238,23,2.6
499,565,2203,54,2271,25,0.0
500,1088,2526,51,172,25,2.3
501,1491,720,57,80,26,3.8
502,1585,3604,58,81,23,1.5
503,272,464,56,79,24,0.0
504,379,248,57,80,24,2.2
505,466,269,57,80,26,0.0
506,380,1084,57,1007,24,0.0
507,525,157,55,285,25,4.6
508,56,1488,56,79,26,1.3
509,325,330,54,894,24,2.0
510,751,243,57,80,23,2.5
511,82,275,56,79,27,3.6
512,334,717,56,640,25,2.9
513,814,195,55,636,26,3.8
514,253,112,58,81,25,2.1
515,1577,134,56,79,22,0.0
516,211,99,56,79,26,0.0
517,166,98,58,81,25,3.7
518,1102,201,55,319,24,1.0
519,58,143,58,81,25,0.0
520,827,256,58,81,24,0.0
521,236,142,56,79,24,3.6
522,4000,4831,53,411,25,1.5
523,135,167,56,79,23,0.0
524,219,103,47,375,22,3.1
525,724,169,54,387,24,1.7
526,264,1223,56,79,22,0.0
527,1476,1332,58,81,25,2.0
528,237,424,56,79,23,1.7
529,183,113,57,80,23,0.0
530,775,2319,58,81,25,0.0
550,1535,2001,51,1546,26,1.7
551,628,786,51,1089,24,0.0
552,674,125,58,81,23,0.0
553,186,274,56,79,23,2.5
554,246,606,58,81,25,1.3
555,774,141,52,434,24,1.1
556,179,1716,55,78,25,0.0
557,1386,1567,46,451,23,0.0
558,899,500,57,80,24,0.0
559,829,778,57,80,24,2.5
560,56,183,56,79,23,2.0
561,625,266,56,79,22,0.0
562,58,81,58,81,24,0.0
563,2491,2443,56,79,25,1.7
564,2885,2732,56,79,26,1.3
565,56,79,56,79,23,0.0
566,347,283,58,81,25,0.0
567,83,715,57,80,22,0.0
568,1335,519,58,81,25,1.1
569,187,304,55,155,26,3.2
570,458,2048,56,79,24,1.4
571,1651,448,57,149,25,1.2
572,2231,366,54,579,25,3.4
573,56,313,55,462,25,2.4
574,21398,4819,57,169,26,0.0
575,589,206,56,79,24,1.6
576,2535,709,56,79,24,1.5
577,325,604,57,80,27,2.1
578,789,177,56,79,25,1.3
579,222,285,56,79,24,2.0
580,717,80,56,349,26,0.0
581,56,333,56,79,26,2.0
582,72,488,58,81,24,0.0
583,103,502,50,231,24,3.7
584,226,79,56,79,23,3.4
585,3787,240,57,80,25,0.0
586,790,169,57,80,25,0.0
587,353,92,54,169,22,3.5
588,246,649,57,80,25,1.3
589,128,79,56,79,23,3.9
590,920,2211,57,1140,24,0.0
591,805,176,54,649,25,0.0
592,144,78,50,281,23,1.3
593,317,950,56,79,25,1.4
594,164,455,55,425,25,0.0
595,70,3097,54,415,26,2.4
596,157,448,58,81,24,2.8
597,239,153,55,555,26,0.0
598,136,520,54,77,23,1.7
599,991,2638,57,80,26,1.7
600,2048,2840,55,198,25,3.3
601,638,2030,55,78,26,1.9
602,188,79,56,79,25,0.0
603,311,318,57,80,24,1.1
604,72,174,56,79,25,0.0
605,198,624,57,80,24,0.0
606,1876,195,51,166,24,2.8
607,15251,3579,58,197,22,1.7
608,4454,3504,55,428,24,2.0
609,166,1027,57,80,24,1.6
610,101,150,57,80,24,0.0
611,411,146,53,167,24,1.2
612,1877,503,57,80,24,1.8
613,7869,3064,56,282,24,3.8
614,396,2016,51,158,25,3.9
615,2310,1164,45,3212,23,2.5
616,107,80,57,80,24,0.0
617,812,694,58,81,23,0.0
618,1636,3029,57,80,24,0.0
619,813,2768,56,945,23,1.9
620,222,357,56,79,25,0.0
621,179,184,57,80,24,1.0
622,440,141,57,80,24,1.5
623,259,97,57,80,24,0.0
624,2095,939,58,81,23,2.4
625,293,592,58,81,23,2.7
626,272,161,56,79,25,0.0
627,127,314,57,80,24,2.2
628,60,212,53,637,27,1.5
629,194,212,57,80,24,0.0
630,247,332,58,81,23,1.2
631,155,78,55,78,26,0.0
632,4967,474,46,308,24,3.6
633,101,508,56,211,24,1.7
634,56,85,55,110,25,0.0
635,513,2676,57,80,24,1.0
636,2464,3108,56,328,24,1.3
637,285,394,52,505,24,1.1
638,758,399,58,561,22,0.0
639,387,81,58,81,23,0.0
640,57,433,57,80,24,2.6
641,437,81,58,81,23,1.5
642,1481,849,54,218,24,0.0
643,464,458,56,79,25,0.0
644,75,288,55,78,26,0.0
645,4771,2478,57,80,24,2.2
646,1034,1181,56,462,24,1.9
647,166,535,56,79,25,0.0
648,2373,2430,56,79,25,3.2
649,730,563,56,79,25,1.5
650,2355,684,35,107,23,0.0
651,91,152,55,78,26,2.3
652,3683,2539,58,81,23,3.8
653,4327,468,56,218,24,2.2
654,58,2892,58,81,23,0.0
655,678,218,58,81,23,2.4
656,203,183,56,79,25,0.0
657,1392,134,57,80,24,2.2
658,344,309,57,80,24,0.0
659,452,2421,57,80,24,0.0
660,4673,231,56,333,23,3.1
661,154,329,57,80,24,0.0
662,1785,115,57,80,24,0.0
663,1298,371,56,729,24,1.9
664,1001,1974,55,78,26,3.0
665,56,110,56,79,25,0.0
666,1355,3033,56,79,25,1.3
667,585,456,55,78,26,1.3
668,192,414,55,78,26,1.3
669,56,149,55,402,25,1.1
670,1257,215,57,80,24,0.0
671,733,2864,59,82,22,0.0
672,319,669,56,234,24,4.2
673,78,189,41,197,25,1.5
674,3754,337,56,79,25,0.0
675,296,79,56,79,25,0.0
676,566,2268,56,79,25,2.3
677,261,324,56,79,25,2.3
678,246,1223,57,80,24,0.0
679,2239,172,21,424,23,1.7
680,265,151,57,80,24,0.0
681,1705,91,57,2790,22,2.1
682,144,94,54,77,27,0.0
683,398,458,56,79,25,0.0
684,2482,1595,58,81,23,1.5
685,1002,437,57,80,24,0.0
686,439,401,55,498,25,4.4
687,73,164,57,80,24,1.2
688,185,303,56,79,25,1.1
689,6065,3444,57,320,23,3.0
690,1667,1826,56,161,24,1.4
691,2323,289,58,81,23,1.5
692,963,3127,57,80,24,2.2
693,262,1712,55,466,24,0.0
694,407,443,58,81,23,0.0
695,816,2530,56,79,25,1.7
696,649,136,57,80,24,2.3
697,1154,290,56,79,25,0.0
698,2070,2185,46,182,24,4.3
699,858,425,40,198,23,0.0
