id,puzzle,solution,clues,difficulty
40,8..24.9..52.8....7..9.......8..9.7....4..7.5.......123...3......6..2...1198......,837245916521869437649713285385192764214637859976584123452371698763928541198456372,25,1.4
41,3.7.9...1....2476...9.5......84.........3..177............73..44215........2.9...,347698521185324769269751348538417692692835417714962835956173284421586973873249156,25,1.5
42,...43.2.7...5.....2......9.7....8..6892.64.....6.......58.4..71.3.9..5.....81.6..,581439267469527318273681495745398126892164753316752849658243971134976582927815634,27,1.0
43,.4...9.1..7..5.2.3.6..2.58.2.5.3....6..2.43.....69.....58...7...........9.....13.,542389617879156243163427589295831476681274395734695821458913762316742958927568134,26,1.9
44,...2.3...9......712.4.....3.5...81..3.2..1..........9.7..9.........748....8.5..2.,517263948936845271284719563459628137372491685861537492745982316623174859198356724,23,1.6
45,.7.18.......7..2.9...65..4.138...4......4........7.1..31......5..7.......6.3.5.2.,472189653651734289983652741138596472796241538245873196319427865527968314864315927,24,1.5
46,...6.2..412...4.7..9...7......1..3.531......647.....1.2...5...9.6....1....9....5.,753612984128594673694387521982176345315428796476935218241753869567849132839261457,25,1.5
47,..4.....35.8...4.7...1...5.2...8...1..5..4..276...3...68....2.9..........1.89....,194578623528369417376142958249785361835614792761923845683451279957236184412897536,24,1.2
48,....1....1..2...5...7.....32.6.....7..3...4.65....48....87.9.......8..956....1...,835417962169238754427956183246893517983175426571624839358769241714382695692541378,23,1.6
49,2....3.7.41...8..3....2.4.8..216.5.4.7..3...9..5.......5...47....69.....1........,289543176417698253563721498392167584871435629645289317958314762736952841124876935,25,1.0
50,.6...7.5.5...1.9.8.........1.8.........27..4....5..3....7.821..64.............6..,864937251532416978719825463178364529395271846426598317957682134643159782281743695,21,2.0
51,2.....9.7..6....2.....51.....1..5..3.....4.6.8.59.........73...4...2.6..7.......8,214836957586497321379251486641785293927314865835962714198673542453128679762549138,22,2.0
52,....25.....7.1....1....46.27......3.51.4...7.........5...3...1..9..5...8.46..7...,934625187627819354158734692769582431512463879483971265275348916391256748846197523,23,1.2
53,.6.....9...57..813.....82..74.5......2...6.8...3.4.......893.7..........6....43..,862431597495762813317958246746589132529316784183247965254893671931675428678124359,24,1.6
54,....7...12.4....9..5...1..31.....2.....36...9............19.5....3..7.467..5.4...,386279451214653798957481623139748265475362819628915374842196537593827146761534982,23,1.2
55,6....7..1..354......8.....94.....9.39...62.8.1......5.....75....4...63....12....4,694827531713549862258631749426758913935162487187394256369475128842916375571283694,25,1.2
56,.......65.....8...79..63...43.2.....5......981.95..4....6..28..3......5..7......4,843921765612758349795463281438219576527634198169587423956342817384176952271895634,24,1.7
57,....8.67.4......5...7..6..9...2......3.1.9....51..32....5.....1.1......4...72..8.,193485672468972153527316849984267315732159468651843297875634921216598734349721586,23,1.5
58,5...8.....29...7...6.14.8....5.2...6.3..5...........19..4..6........76..9.......4,541782963829365741763149852195824376637951428482673519354296187218437695976518234,22,1.7
59,7......3...86.4.........57..8.52....41.9..8.........5...2..8..9..42..1....94...6.,726195438538674291941382576683527914415936827297841653162758349374269185859413762,24,1.2
60,....87.....36.4...6.9.3..1...69......8..7.64......1.859......7..2....4.84...59...,254187963813694752679235814546928137182573649397461285931842576725316498468759321,26,1.3
61,.......7585....93...7..2.16...6...9...8..4.......35...9............2.45..1.57..6.,691843275852167934347952816423681597568794123179235648935416782786329451214578369,24,1.1
62,......2..9.365....8.2......5..13..7...4.7..2.1.....8.....3...65.6872.............,456813297973652418812497536529138674684579123137246859291384765368725941745961382,23,1.8
63,..5.9..7.1.38..6......6.....7.932.......8.74.3....5.........39...6.......2...91.5,685293471143857629792461538471932856259186743368745912517628394936514287824379165,24,1.5
64,8...3...99..2....4.5..6....5....7.2..1....8....965....2.........8.1927.......54..,872534619963281574154769238548917326716423895329658147237846951485192763691375482,24,1.8
65,.85..7.....9.1.3.53..9....1.68....43.3.5......52..6..8.....84.2...............9..,185637294649812375327945861968721543731584629452396718596178432273459186814263957,24,1.7
66,...49.1.3...8..4..4....7..2..5..6.....1.....62..98.....3...9.611.85....4.........,682495173713862459459137682345726918891354726276981345537249861168573294924618537,24,1.1
67,..9...7....76......4..8.3......3...2.5.2...8..7.5.6..9...1.48..7..82.....18....46,139452768287613594645987321491738652356291487872546139923164875764825913518379246,26,1.3
68,.9.4..8.6.4...2......15...4.58.....9..9.145..3.6......5....7.8...4.....2...9...3.,295473816841692375637158294458736129729814563316529748563247981974381652182965437,25,1.2
69,..6..2.8...1..9.....3.6.......45...3.5..1...9.3.....7.........62.4...1..8...7.93.,946732581521849367783561294692457813457318629138926475319285746274693158865174932,23,1.6
70,7.3.91.....4.......8....13.52..4.7.......32..8..61....6.....97.3..7...6...9....2.,763291845214385697985467132526948713491573286837612459652134978348729561179856324,25,1.7
71,...3...74.3....26.8..2..5..3....8..7.....5..1.6.4...5.9...47.1...6...4.........92,625389174439751268871264539354198627297635841168472953982547316716923485543816792,25,1.3
72,...8...2.17....96....9........2.....46.5.81...3...16..7...3..895.4...........24.7,695847321178325964243916875951263748462578193837491652726134589514789236389652417,25,1.7
73,..6.2..1...36......8.7.4....1..7..3....2.5..6..493....692.....1..........7..824..,946823715723651894185794623519476238837215946264938157692347581458169372371582469,25,1.6
74,...5.41.9.........2...37...1.3.......7.....45....6..7..1..735..6..8...3..5......6,736584129481296753295137468163745982978312645524968371812673594649851237357429816,23,1.8
75,..23..9......4....6..1.5..3.89..3...72......51..8.......562.1.4...9.86..2........,452386971931742568678195243589273416723461895164859327895627134347918652216534789,25,1.5
76,2.....9....87....4.964..1.2....5...9...2.....4.3..7..171...2.....9.18.4.......6..,247136958158729364396485172671853429985241736423697581714562893569318247832974615,25,1.4
77,....61..........91...5.82...8..2..4.67.......5..1.96....6......91..428.5....5..6.,792361458865274391341598276189726543673485912524139687456813729917642835238957164,25,1.7
78,8.75.....5......2......4.91........32.1..7..9...9.1.7...614.....3....2..1.57...3.,817529346549316728362874591974268153251437869683951472726143985438695217195782634,25,1.8
79,.....651.69.3.8.7......7.8..8......7..68...3....71....7..5.9.6.465...........1...,847926513691358472253147689184632957576894231329715846712589364465273198938461725,25,1.0
80,7.41......9....6....6..53.4...8.7..92.....1...5.....73....8..6.5....34....9...8..,724136958395248617816795324163827549247359186958461273431982765582673491679514832,24,1.0
81,7.8.2....6..........1.48..53..5..4...4.3..8.1.1.....76.2...5..7..6....2...3.1...4,758123649634759218291648735367581492942367851815492376429835167186974523573216984,26,1.9
82,5.....6...4...2...8..64.1...8......5..2.1.....65..3......4.6.8.....7.9..6.32.1..7,571938624346152798829647153184769235932514876765823419257496381418375962693281547,25,1.0
83,6...3..1...1....8....4..9.......8....5.12....7...4583.84.6..2...3.....7......465.,695832417471596382283417965314768529958123746762945831847651293536289174129374658,25,2.0
84,..7...315..5...8..91................4.165.......7.4.5..6.2.37.....18...3..4..9..6,687492315245317869913865427852931674471658932396724158568243791729186543134579286,25,1.0
85,...7..9.58..9...6..4...1..3...1.6.9.125..93.......7...5....4...36.....1..94...7..,631728945852943167749561283473156892125489376986237451518374629367892514294615738,26,1.0
86,.1..5.....326........2..9.85.1..43.2...81......4......3.8.7.2.1....6.5......4...6,819457623732689154456231978581794362273816495694523817368975241147362589925148736,25,1.6
87,..52.8397.2.......8.3.9.....8..4.....6.3....2..9.....5............7.4.83...6594..,645218397927463158813597264581942736764385912239176845452831679196724583378659421,25,1.7
88,...1.3.8.....7..2..146.8....9.....6..8.2.....745.....9....6.9.....41.7...63....4.,957123684638974521214658397192547863386291475745836219471362958829415736563789142,25,1.1
89,...18.945.........4...567....2..78...3.6...575....96....5.7...6.13........64.1...,627183945351794268489256731162547893934628157578319624845972316213865479796431582,27,1.8
90,..1....6..3...1..8..784....6...2.47..4.......5..1...3.9....764......52...8.49....,891253764435761928267849513613928475748536192529174836952387641374615289186492357,25,1.6
91,.6.7..85.....9..4...8.6..2.28..5...13.....6........5..4.7........6..3....3.1.2..7,962714853513298746748365129289657431351429678674831592427986315196573284835142967,24,1.7
92,..34......1..2.7..9..8...157....2.8.56.....4....94...2......1...8....6..1.5....28,253471896618529734947863215794652381562138947831947562326784159489215673175396428,25,1.9
93,...51.......9..42.9...6...3.7.....16...8..7..4.1.....5..5...86....4.31...2.......,732514698856937421914268573578349216263851749491726385345192867689473152127685934,23,2.0
94,...7589..3.12......7.4........5..8.....9.7..5..6....92.2........67....8.85....36.,642758913381296457975413628794521836238967145516834792423689571167345289859172364,25,1.2
95,.....2.67..7..8..3....5.28.9....4...3.89...5..4638....5.4..7.....9.....2.23......,485132967297468513631759284952674831378921456146385729564217398819543672723896145,26,1.3
96,.5.9.....27..1..9.4....862.......4.2..1.5...8...68....8.4..3.........95..2.......,358926147276415893419738625685397412931254768742681539894563271163872954527149386,23,1.5
97,..8.5...71...2.6..6.....9..35.96.....1..37..........3....2.5.7..6984.....4.......,428659317195723684673184952357968241214537869986412735831295476769841523542376198,24,1.7
98,..79..........29..1.8....4.6....9....3..4.82....5....1...1..43.3........2.5.6.1..,427913568563482917198756243651829374739641825842537691986175432314298756275364189,23,1.4
99,..9.2..6...4...7.....8.75.........8.9.7...1..63...1.45......6....2.....4145.9....,579123468284569713316847529451632987927458136638971245793284651862715394145396872,24,1.9
100,.9.6............4...5..8.371.3...........6......5.981...12......6.37..54.4......9,497613582238957641615428937153782496984136725726549813571294368869371254342865179,23,1.9
101,..3.....4.1...2.69....793...9...7...36....85.1....5..3.5...49......8.6....2....4.,923658174718342569546179382295837416364291857187465293651724938479583621832916745,25,1.2
102,4.23...69.5...67..73..2....3....1......4..52......8....9..5.4.......3.7.2.......6,482375169159846732736129845324591687968437521571268394897652413645913278213784956,24,1.9
103,53..9.........7..6...2..3542......7......912..9....5....7.......69.5.2..8.5..4.9.,531496782482537916976218354213685479658749123794123568147962835369851247825374691,25,1.1
104,...9..36...78....2.5...4...7..13....4...2....6.3...1......4..87........9.89....5.,842957361967813542351264798795136824418725936623498175136549287574382619289671453,23,1.2
105,6......4...9..7.2.85.3..6...3.91...2...7..43....2.5....9...6..41......9......386.,673821945419657328852349617736914582521768439984235176398176254165482793247593861,26,1.3
106,.8....6.5....5..2...563.9..9..4.85...2...7....1....2..1.7..5....9............3819,481279635369854127275631948936428571528317496714596283147985362893162754652743819,25,2.0
107,.4.9.....9....3.1...71.48..........5..1.2....4...5...7.82.....97..6...2.......4.1,148972536926583714537164892273849165851726943469351287382417659714695328695238471,23,1.6
108,..34....1.....7.....9.38.5..4......85......9.89..13..236...51...17.8......5...2..,673459821458127963129638457742596318531842796896713542364275189217984635985361274,26,1.5
109,8.97..4....3....9......48......652...4.3......7...8.6...2..6..5.67.1..8.....5....,819723456453681792726594831398165247645372918271948563982436175567219384134857629,24,1.8
110,13.........96..3...5......8..2..91.79.4.3.6...7.58..2........9.46.......7....25.6,136824759849675312257193468582469137914237685673581924325746891461958273798312546,26,1.6
111,6.........7..2...42.8.753.......7..5..126.....3.9..8...53...14.....8..6...2...7..,615349278379128654248675391926837415581264937734951826853796142197482563462513789,25,1.8
112,3....9....6.....9851....6.7...12...5...8...3..5..........9.7.8..7.2...4..28..3..6,382679154467512398519348627893126475746895231251734869134967582675281943928453716,25,1.0
113,.1.6..57.5..8....347.1...92..5.6.3...8.3.9.1.2.........4......6..8..........8.7..,813692574529874163476135892795261348684359217231748659147523986368917425952486731,25,1.2
114,...4.8.721.....6....4......23.....8.7.1.....34.5.7.......2....9..7.8..3.56..1....,359468172128739654674521398236194785791856423485372916813247569947685231562913847,24,1.6
115,9...8.46..8.2..3......75...........6.....3.....28..91..34...7....7.5.18.2......4.,925381467781246359463975821879124536146593278352867914534618792697452183218739645,24,1.8
116,6.3....7......91.6.9.2...8......2.....7.3........8.7.5...9...52..1..8....5....69.,613845279582379146794261583865792314147536928239184765476913852921658437358427691,23,1.5
117,..32...........4.71.5....23.42......7.....8...86....3...9.83..66..1.5..2.5...2.4.,463217598928536417175849623342658179791324865586791234219483756634175982857962341,26,1.7
118,..24.78.......3...85......7..4....72...........9182.6..2...9..5...7...1.7...3...4,932467851147853926856921347384596172261374589579182463428619735693745218715238694,24,1.6
119,...3.189......8....76...3....2....4...74.36...3....2.....6.9....5423...6....1....,245361897319758462876942351162875943597423618438196275721689534954237186683514729,24,1.4
120,7..6...1.8..2......1..3..86..43....239...2..5.5..19....68..............3..19..7..,723685419846291537915734286184357692397862145652419378468573921279146853531928764,25,1.7
121,.........8..4...7.....6.124.5...4...1.7.9........7.34.5.9.....6..6.28....1...74..,294715863861432975735869124953284617147396258682571349529143786476928531318657492,24,1.0
122,14.52.....67.......5..83..459...76.22......31......9....68..2......4............5,143526798867194523952783164591437682278659431634218957316875249785942316429361875,24,1.5
123,.4...6...1...4..........35.....784....4.....7...32....9...3......6.5783.7.2.....6,543896271127543698869712354295178463384965127671324985958631742416257839732489516,23,1.8
124,..48...6.1.534.....2......7.....369.3.......4.5.2...7.8...6.9.....4....1...92....,734892165165347289928156437417583692382679514659214378841765923296438751573921846,24,1.3
125,.8.......9....81.74....15...37.........56.2..86.....7....2...9..5....62....49....,681759342925348167473621589537982416194567238862134975346275891759813624218496753,23,1.0
126,.6..9.4....4..8....2...4591..8...76....57....19..........34..85......2.73........,561293478974158623823764591258431769436579812197682354712346985649815237385927146,24,1.2
127,.1.........6..92...2....86..9.4...5.74....9..8.16..3......48.79.....7.....95.....,314826795586719234927354861692473158743185926851692347135248679468937512279561483,24,1.0
128,...3....2....9...5.581.64.98.........2.....5...947..1...1.....35..68.....4.7.....,917354862462897135358126479875213946124968357639475218781542693593681724246739581,24,1.3
129,6....7.......35.62.3..1.4...8........7.1..8....5.2..468.......7...75....59.3..2..,652497381741835962938612475486573129279164853315928746863241597124759638597386214,25,1.6
130,6..2.....3.8..5.....94...7...5..96..4.3.5.1...1...6.......1..9........647..8...2.,674231958328975416159468372285149637463752189917386245542617893891523764736894521,24,1.3
131,.6.9..8..8..12.6.41......2.....752....7....5...94.6.......42..6.....7...3......1.,762954831895123674143768925431875269687291453259436187518342796926517348374689512,24,1.1
132,5...826..6..........86..2172...........4...9...5..7.43...3.......79...6.41.....8.,579182634621734958348659217294813576783465192165297843956348721837921465412576389,24,1.0
133,......841..5.3........8..7.8.1...7...6...74....32..9....4..5.3.2..3.....9....8...,327569841185734269649182375891643752562897413473251986714925638258376194936418527,23,1.4
134,.75...6..9.2.........4....7..61..82.7...6...3.......1..2..9.56...9.1...4...2.3...,175389642942671385683425197536147829718962453294538716327894561859716234461253978,24,1.0
135,..92.......5..68....2.8....8.7.9.1..5..4...9..41....6.7.8..4..9....1.........35.2,689237451315946827472185936867392145523461798941758263738524619256819374194673582,25,1.7
136,..2.8.7...7...2.........9.4..4..519....2......8....4.3..3.......6...8.15.5.19....,942581736376942581815367924634875192591234678287619453123756849769428315458193267,23,1.6
137,...4......96..24...1...7.2.2..5..78..5.2.3..6....6...1..2........9....75..7...1..,325489617796152438418637529264591783851273946973864251682715394149326875537948162,24,1.8
138,....89........379.9.1...6..12.....56.......3.5.8.2......2.5...7..56.8..384.......,657489312284163795931572648123794856476815239598326174362951487715648923849237561,25,1.3
139,......2.3...3.5.4...9.17...6....13.89.2......5......2..6....7.4..145.......8...9.,158649273276385941439217586647921358982534617513768429865192734791453862324876195,24,1.5
140,.3.......95..1...7...8...36.7.....2..895..4......8.........5.6..91.....56..1.79..,836754192952613847417829536573941628289576413164382759748295361391468275625137984,24,1.6
141,816.....72....7.3.....1.....6...........5.3.4...4.91.61.59..8....81..7..43...5...,816593427249867531357214968964371285721658394583429176175936842698142753432785619,26,2.0
142,.7.....6.....78.5..46.3..8...4.2....25...9......1.5..38......2......4..8.6.2..7.5,578491362392678154146532987634827591251349876987165243813756429725914638469283715,25,2.0
143,....4.9....4......6..593.2......9.8.97..3.1....1...6....7.1....8.2.6.7.......2..3,253647918794281536618593427426179385975836142381425679567318294832964751149752863,24,1.2
144,.....4.8..4.9...1.1.6.3.5..52..8......847...2.....2...6............1...39..6....4,259164387843957216176238549524386791398471652761592438637849125482715963915623874,23,1.1
145,..4....16.5..1.29....3.6.....3.....9.2..9...8..76.4.....1...6...9....83...2..1..7,234958716658417293179326584843275169526193478917684325781539642495762831362841957,25,1.2
146,1.....3.........48.92..85......9.....4.67..9..153....48734...................7.5.,184569372567213948392748516736194285248675193915382764873451629451926837629837451,23,1.4
147,37.4......8..13...52.......74...2.........9416.......3.3.8...76......4..4..5....2,371456298984213657526789134749132865253678941618945723132894576865327419497561382,24,1.5
148,95.........12...9....1..3.4..6..9..3.2........39....7..9..38.563...7.4....7..6...,953764812641283597278195364716859243524317689839642175192438756365971428487526931,25,1.2
149,....9.4..4.851.9..7...6..51..2.5.....1.92...5......8.9584................3.1..74.,651392487428517963793468251972853614816924375345671829584736192167249538239185746,26,1.9
150,.4......51.3...2..97..681...3..2..7...1..6...8..37..24.....2....8.7..5...1..59...,648213795153497268972568143436925871721846359895371624564182937289734516317659482,27,1.7
151,.9....8......2..7..4.5..2.35...7......2.6.34.4....1....154....6......73.....96.12,293647851651823479847519263569374128172968345438251697715432986926185734384796512,26,1.7
152,......54...1...2...7.6...9.8.9..71......23..73....1.5..92.1..............6...593.,236179548951438276478652391849567123615923487327841659792314865583296714164785932,24,1.8
153,.847.................51.849..1..2..7.7....62..2...5.8..3..4.......3.6.9.8.2....1.,384729165159468732267513849691832457578194623423675981936241578715386294842957316,25,1.3
154,.2....4....7..6..1...3...7...87.163.3.......89.42.8......8....918..5...7......3..,825179463437526891619384572258791634371645928964238715743862159186953247592417386,25,1.2
155,.......21...17..5...7..5...4.5.3......2.673.......894...........1.8......4.2..83.,659384721834172659127695483465931278982467315371528946298753164713846592546219837,23,1.0
156,....1.42.4....835......7....879.......5..4..2.......15..2..3...79.8......5...19..,568319427471628359923547168187952643635184792249736815812493576794865231356271984,24,2.0
157,.28..3....5......8...2.13....5....8.61.........354......7..68..4..7...9...6...1..,128953467359674218764281359945162783612837945873549621597416832431728596286395174,23,2.0
158,........8..1..5.6..4.8.3...4.39.76...92.....7....543......4..2..2..91..57..3..1..,375619248281475963946823571413987652592136487867254319139548726624791835758362194,27,1.9
159,...........57....172.8...3.194..6.......7.......2...4.5.1.3.26.9..4..8...32..5...,819563472345729681726841539194356728258174396673298145581937264967412853432685917,25,1.1
160,.1.....9..4..821.....61.5......4...78.3.....2..2...36.....7..3.9....4......5..4.8,718435296645982173239617584196243857873156942452798361524871639981364725367529418,24,1.3
161,..26....1....8...5.....4.3.....73.9.41.......39.....7.7..8..5.6..6...8.......1..3,572639481943187265681254739268573194417926358395418672739842516126395847854761923,23,1.9
162,.1.69.23.7.......4..6..1...54.......6.1.4...2.7..65.9.2............86......3..789,815694237793528614426731958549217863681943572372865491258179346937486125164352789,26,1.5
163,79..6......47......2.9..5....2.59..1.....87.....4....6.......3231...7..5....318.4,795362418684715923123984567872659341436128759951473286547896132318247695269531874,26,1.8
164,..8......9..7....34......5..7.8.5.....56..89....3....1....3..1279...2....14...3.6,168543729952786143437219658671895234345621897829374561586437912793162485214958376,25,1.8
165,9...258....31..27.........9..........8..3...4.2648.7....82.19..2......5..9..58...,961725843853194276472863519349517682785632194126489735538241967214976358697358421,26,1.4
166,27..9........5......8..26.98..4..25...68....3..9....78.....79..36.........751....,273698541694153827518742639831479256756821493429365178185237964362984715947516382,25,1.3
167,..9................2.56.39....1.......8..3.51.632..9..79...2.......4......4.9..38,539418762476329815821567394957186423248973651163254987795832146382641579614795238,23,2.0
168,9....52.3..3.46.1...8.........8..3...4...3.9.8.6..4..7.2.468............4..2.15..,974185263253746918618392475192857346745613892836924157529468731381579624467231589,26,1.4
169,......7.4.1...3...3....2.......5......5.7.12.8.39...7.7.2..84...........1.8.3.5..,526189734917543286384762951271856349695374128843921675752698413439215867168437592,23,1.6
170,4.2..8..3.......763........1.7..2...9.8...62....586.......7.89.8....3.6..4.......,472698153589314276316257948167942385958731624234586719623475891895123467741869532,24,1.1
171,.8.91.5....2..7.6............61...58.3.69..2.......9..52..8.3........4.....72..1.,683912547912547863475863291296134758837695124154278936521486379769351482348729615,24,1.1
172,......4..27.89......6.1.39....45....1.....74.8...3..563....216...5...2..7....9...,913625478274893615586714392639457821152986743847231956398542167465178239721369584,26,1.8
173,...1..7..4...3.1..........6..94..2..2.4..6.3..81....5..7.985..3..5.......6.....92,523168749496237185817549326639451278254876931781392654172985463945623817368714592,25,1.5
174,47.8..1...5...4.....31..6......9...8.9..5.7213......5..69.1...4...73...62........,472863195651924873983175642527491368894356721316287459769518234145732986238649517,26,1.5
175,7..9..258........9..34.....2....5..7.61.9.5.49.78...1...............1..33....48.5,746913258182756439593428671234165987861397524957842316678539142425681793319274865,26,1.0
176,.2.........9.16...3.19.7....1.......5.....687...7.3..4.3...9.7....3..1.82.68...9.,725438961849216735361957842417685329593124687682793514138549276974362158256871493,26,1.5
177,..4....7.9.......6.7.56..43...3...2......74..498.........18..3.......9.43....28..,654238179923471586871569243715394628236817495498625317549186732182753964367942851,24,1.2
178,5..........87...944.69.5.3..5.46.3.......8.4........78.815.3...............12.7..,539842167218736594476915832852467319167398245394251678981573426723684951645129783,25,2.0
179,.5..2.64....1...9.34...........51.....8.3.5....38...6..1.6.7...78...9.........9..,951723648872164395346598721467951832128436579593872164219687453785349216634215987,23,1.8
180,..6..9.31.....5...3.8.......95......8.47....3...8...69.2....1.4....4.......2..985,256479831917385642348162597795623418864791253132854769629538174581947326473216985,24,1.1
181,.6..7...53.....69...21.8......5.....28..4..7.1.......9........4.1..2..5.4.98....7,864973125371452698592168743937581462285649371146237589623795814718324956459816237,24,2.0
182,1..5....69...48....4..3........5.4.2.95....1.....1......62...94.398....5...3...7.,183527946962148537547936281318759462695482713274613859856271394739864125421395678,25,1.5
