id,puzzle,solution,clues,difficulty
27,.....6..8..49..5..13..7..9..4....7....7.91.3...8....5.82.4..9.3.7.23.............,792156348684923517135874692549382761267591834318647259821465973476239185953718426,25,7.4
28,.4.8...276...9..1..3.7............36....13..22...6.5...26.7....3.9..4.5.5........,941856327657392814832741695495287136768513942213469578126975483389624751574138269,25,7.4
29,...3.248...1.4.........5...45.........8.9..3.1..4..2..2.9.6.7.........49...9....8,975312486381649572642785913456123897728596134193478265239864751867251349514937628,23,7.4
30,....7..4...94..5...7.......8.5.632....3.5........24..5....36.....7....185.....6.4,652378149389412567174695823845963271923751486716824935498136752267549318531287694,24,7.4
31,.4......2.97.....3...3..1.....8.65...682..7..5.......4...76......2....1.85..9....,346519872197628453285374196739846521468251739521937684913765248672483915854192367,23,7.4
32,1..4..52.......6...325....8.4........2.179.....82.5.1....7..3..6....1.5.....6....,167498523985327641432516978741683295526179834398245716814752369679831452253964187,24,7.4
33,......1......5.63..9.4.3..5.7.3.6.12.4.2...7......5....34.9....8....4....21...8..,357962184482751639196483725578346912643219578219875463734698251865124397921537846,25,7.4
34,...84.56...3..9...........3.7.......8..6...9.5.69...2..4.5.7....2..8...4...4..7.6,197843562263759418485261973972138645814625397536974821648517239729386154351492786,24,7.4
35,...5..6..1..4...3.7...1..2......5..3....7...4.92..3.8..617..........4....3..8...9,328597641159462738746318925874925163513876294692143587461739852987254316235681479,23,7.3
36,..9.2..3..64...8.....7.8..41..5.7.......9..7...53..............9....6.8..2...14.3,789425136264139857351768924196587342832694571475312698647853219913246785528971463,23,7.3
37,...35..126..7.85...............1..2.75......3.....4..8..1.......8.6.....42...59..,849356712613728549275491386368917425754862193192534678531279864987643251426185937,22,7.3
38,.........461..........2...79....26..15..4......7...15.....9.52..9...8.3...4..3...,279865341461739285835421967948512673156347892327986154713694528592178436684253719,22,7.3
39,.86....3.3....68...1....7.446...2.8...3.8...5.......9...269.......2.4....3.1.....,786945231324716859915823764469572183173489625258361497542697318891234576637158942,24,7.3
40,......4....2....36.681....2.8936.....76.18.5......7.....5.76..9......5..8........,731692485952784136468153792189365274276418953543927618315276849694831527827549361,24,7.3
41,1.68...7......9...89....5.....78..69..8.....127.....83.....5......63.....62.7....,126853974735469128894127536513784269648392751279516483381245697957631842462978315,24,7.3
42,..57.....46.9..........3.1...8.....56...974............41..2.3..3..845........2..,315768924467921853829453716198246375653197482274835169941572638732684591586319247,22,7.3
43,....6.92..6.25.......1.78....8.7.....97..3..55.6.........61.....2....1......8..4.,175468923863259471942137856218576394497823615536941287789614532324795168651382749,23,7.3
44,.2.6...9....93.6....7..2...5....8.7..3..9....79.4....1.......4.1.4.......7..2.1.9,325671498418935627967842315546318972831297564792456831259183746184769253673524189,24,7.3
45,76......1.256.79......9......1...2...3.2..78.27....1.6.....9......5.......7.4...3,769482351125637948483195672851763294936214785274958136518329467342576819697841523,24,7.3
46,..7...6......3..9....56..73..9.....8.4.3....58.5.4.3....6....5..734..9..9....2...,537294681621837594498561273369125748742389165815746329186973452273458916954612837,25,7.3
47,.......6...29.....19..3.2.8........2.6..854..8.174......9...316...3....52...1...4,387421569642958137195637248574163982963285471821749653459872316716394825238516794,26,7.3
48,8....1.....17....8649.....5.....46.3.3..7.....8.2.......2....8....4...59.....92.1,873951462521746938649328175715894623236175894984263517492517386168432759357689241,24,7.3
49,6..3..9....9.....4..4..68..1......2..8..6...1..6..2.4.......5..5.3..7...7...9....,615348972839725164274916835147853629382469751956172348428631597593287416761594283,22,7.3
