,puzzle,solution,clues,difficulty
44,5...91...........5..7.4...1.3..17...2..6...4..6.......9.5.6.7.2...8.........2.1.3,582391674314786295697542831438917526251638947769254318945163782123875469876429153,23,4.5
45,.5..7.....3.....68..1.....3...7.1.5.7..6..8.......8....832.5..964.8......9......5,856372194432519768971486523328741956719653842564928317183265479645897231297134685,24,0.0
46,..4.36.9..2....4.68.....2..3...4.........2.......87.4561.4....2...1..3.8..5......,154236897723819456896754231387541629541962783962387145618493572479125368235678914,24,1.0
47,...7.2.4.6..........45....1..74839..9...6...8..3..1...8.1.....5...6...7........3.,318792546652814793794536281167483952945267318283951467871349625539628174426175839,23,1.2
48,9..5..8....2.....61....67..6.8934.......1...7...8......46...3...8......5....7..48,967542813832791456154386792678934521493215687521867934246158379789423165315679248,24,2.4
49,.6.2..4....75..2.......81....8.57..2..3..1..6.4.9...3...4.73.5..5.1..............,561239487487516293932748165618357942293481576745962831124873659356194728879625314,24,0.0
50,........25..4..8....4.72.5.1.....6...7.859........79....8......4.7..3.8.3.6.8..1.,761598342532416897894372156189234675673859421245167938958741263417623589326985714,25,3.3
51,.32..4.178..1.2.6..1....8..........86.........5.73......3...78....3....2.4...5.9.,932864517875192364416573829394651278687429135251738946523946781169387452748215693,24,0.0
52,...1.7.4.1..2...8....86..3..9..5...2.7..9..6...4.1....425.....7..8...3..6.......9,286137945153249786749865231391658472572394168864712593425983617918576324637421859,25,0.0
53,...4.8......3..1..5...27...1.8.63.9...9..18..76......5293........1.4....6.....7..,317498256924356178586127943158263497439571862762984315293715684871642539645839721,25,0.0
54,.........5..1..2.7749....8....6...45..5.......81.3.....1..79....24..39.......28..,132758694568194237749326581293687145675941328481235769316879452824513976957462813,24,0.0
55,9....4.1...539....2.........93....57.4....8.3....2...9...8729......5.4..5......8.,937264518485391672261587394193648257742915863856723149614872935378159426529436781,24,0.0
56,....7..6.3........17.6..3.2.......1.58.3....7..2..95..26..4...8...19.2..........4,825973461396421785174685392643752819589314627712869543261547938437198256958236174,24,3.2
57,2..1..85......92...7.4......41....8.9.......6..3..45..5..6.8.73...2...9.7........,294136857186579234375482961641953782957821346823764519512698473438217695769345128,24,0.0
58,.....7.8.....3....7...9.3.6.4......7.2.....6.59..61..393.45.2...7....9....2..3..1,369517482218634795754892316146389527823745169597261843931456278675128934482973651,26,3.3
59,.9...7..4.379.....4.8....1.....5..2.2.......6...7.4.....3....58.4.2...63.19......,592187634137946285468532719984651327271893546356724891623479158745218963819365472,24,2.1
60,..1..3.....7.6.14.........6.9....2..84...9....2.7..8.3...5...6.4....85..6.94....7,961843725237965148584271936793186254845329671126754893318597462472638519659412387,25,0.0
61,2.......64.....2.5..85.7......1...9...39.4...5...8...3.7.8.9.6..5............6.31,295348176437691285168527349826135497713964852549782613372819564651473928984256731,24,0.0
62,...98.......4...7.......1.3..529...4.19.5......73....8.7..4..8...8675.4..9.......,763981425152463879984527163635298714819754236247316598576149382328675941491832657,25,0.0
63,326.5..8...........5.8......61.27.........1..28....43....9..8.1..3.7..6....4..39.,326154789918763245754892613461327958539648127287519436642935871893271564175486392,25,1.6
64,24.....1......2.5.3.7...4.....63.8.78...2.56....5........39..........6..46...128.,245873916986142753317965428152639847839427561674518392528396174791284635463751289,25,3.5
65,..6.....9...3...7....4..3....95....7.........1539.8..66..7..4..4.8.5..1..9..1...5,346187529521396874987425361269543187874261953153978246615732498438659712792814635,25,0.0
66,.....64.8.6..82....9.3...........1..62.8....7.4.6.9...3......4...9.4..5...7..5..9,172956438563482971894371625938527164621834597745619283356198742219743856487265319,24,0.0
67,.4.613.5.............75.6.84....5....9.4...7.1....6.39.1......3...3..8.28........,248613957567849321931752648472935186396481275185276439614528793759364812823197564,24,1.9
68,.....39626.1..2.37.........4.72.9..3.1...45.9....1.....2..3.....548.....3....17..,875143962641592837932786451487259613213674589569318274726935148154827396398461725,27,1.4
69,....8.....38...5...5....31...7....816....87.....26...9.96..4.....29...3...3..6...,164583297238719564759642318927435681645198723381267459896324175472951836513876942,24,0.0
70,.16......9......5.....174...28.....31.4.89..7.7..2..4..6.742.....1.36........18..,716453982943268751582917436628174593154389627379625148865742319491836275237591864,27,3.5
71,.3..5..8..6.4.3.2.....8.9.....7.....94.6..7....6....513.2....4...........95.2..7.,239157684861493527457286913513742869948615732726938451372569148684371295195824376,24,1.7
72,...1.9.3..4...3..6......9.55..4..3...38.57...4....1..8...7....2.29.35..4.7.2..6..,685149237942573186713826945561482379238957461497361528356714892829635714174298653,28,1.7
73,7.5..9......2..7..3...4895.9......1.....36..7.1...2..4...4......59.....6..2.6.8..,725619483894253761361748952936574218248136597517982634683497125459821376172365849,25,2.0
74,....8.........5.735...2.14.9......1...61.32...4.8..5......5...7..4.9.....8.......,417386925829415673563927148938562714756143289142879536391254867274698351685731492,22,1.6
75,.....9.4.1.3.2.6..4...68.9.......8.17...9...46...3..5....5.....8.4..6.....2.....5,586379142193425678427168593249657831735891264618234759371542986854916327962783415,24,0.0
76,...56.28.3....29..81..9......5.....6968....34..3..8.........3.....74...1.......5.,497561283356482917812397465125934876968275134743618592271856349589743621634129758,24,0.0
77,..94..5.2..........52.3...7.7.8.....6.4.73.9....1.6.3....6..859.9.....2...6..2...,739461582468725913152938467371859246684273195925146738243617859597384621816592374,26,1.5
78,1..2.......57..3..6..8...2.....63..........71.695......3...7.......2..3.....4..85,187234596425796318693815724712463859354982671869571243938157462541628937276349185,22,1.3
79,.7..8..9..3..4.....1.6.5..89.8..........7.......23.91........867.......9..342....,576183294839742561214695738928514673351976842467238915192357486745861329683429157,23,1.5
80,....8............94.1.2685.1......9.......2....8..4.61.3......7....6...4.275.1...,369485172582137649471926853153672498746819235298354761634298517815763924927541386,23,2.2
81,.85.....2...4.87........1...31....4.5...7...9....2.37...7.6..3.39..5....6....7...,185736492926418753473592168731985246542673819869124375217869534394251687658347921,24,0.0
82,84....7....3..9...6...3..2...27..49...6....1....9..6.8.......7.59...18....4...1..,849125763723649581651837924132786495986453217475912638218594376597361842364278159,24,1.6
83,925...6..3..1...9...4.7....17.3....5........1.....83..53.....8.....84..2.....5...,925843617367152498814976253176329845483567921259418376532691784691784532748235169,23,1.3
84,...6....1....2.5....7.9.4.6.7.....38.1..4....6..975.1...54.....83............3...,958634721461827593327591486574216938219348675683975214195482367836759142742163859,23,1.0
85,...1...3.1...27.5...4..5.7..3.2.649.......3...1......6.4.53.26....7.49....5......,572148639193627854684395172837256491456981327219473586741539268328764915965812743,26,0.0
86,........6.4..8.....7.62..4.5.8.4.....34.96.5.69....3.........8.8....1437.....3..1,285734196346189572971625843528347619134296758697518324713462985862951437459873261,26,3.1
87,1.69........8...94.2.6....3.9..3..87...1..4...3....5.....3..7.2.15.2.3.8.....1...,146973825357812694829645173691534287582167439734298561468359712915726348273481956,26,0.0
88,923........4..385....1.......8...1..3............8.2.6.9.8...4...5.4.6...6.2..3.9,923658714614793852587124963248369175376512498159487236792836541835941627461275389,24,1.6
89,21..........5.4...6.8...29...73...1....4.....8.2.5.93.1..7.5.2................35.,214986573739524186658137294567398412391472865842651937183745629925863741476219358,23,0.0
90,.3.....1.14.2....79.....84...6.713.2...6..........9......7..........51...72..8.53,635847219148296537927153846596471382713682495284539761351764928869325174472918653,24,0.0
91,..9.1....4......71.....89..2...4.6...352...4....8.75..38.7...5....5.6....9.......,759312864428659371613478925271945638835261749964837512382794156147586293596123487,24,3.4
92,......1.71..5.......984..3......76......29..8.47....1.3.86..2..76..9.....5.......,584936127136572894279841536925187643613429758847365912398654271761293485452718369,24,1.6
93,1.3.......5..6.......4.3....6....14..2...9..7..824.............57..1.6.3...82.59.,143582976259761438687493215965378142324159867718246359891635724572914683436827591,24,1.8
94,...524...........6....8.7.1..5.1....7.8.......3...6..7...1.7...8...4......9.5..2.,617524938984371256523689741495718362768235419231496587342167895856942173179853624,21,1.2
95,..3.42..81..8...4....15.........6..47....92.......487.6.......3..2.....95..3..6..,973642518156897342428153967285736194741589236369214875617925483832461759594378621,24,1.9
96,..91.........4...3...7..42..4.9..86...1........8..3..17.....5..36.....9....567.4.,439125687827649153156738429243971865571286934698453271784392516365814792912567348,24,1.0
97,..62......9......53.46..........1.54..3..4......8..9.1...186.....7..326.......1..,576218439291347685384659712728961354913574826645832971432186597157493268869725143,23,2.4
98,.....3.6..3.26........5..1.5..8.74....7......4....2.3..1............5.9.8..49...5,258173964139264587674958312591837426327649158486512739915726843742385691863491275,22,1.4
99,7.......54...5....8.61.47..6.273......74....3.4.6..18...5.6..91...5..............,731986245429357816856124739612738954987415623543692187275863491168549372394271568,25,1.0
100,847.....91..4..528....3.....56....1.9....57.........5.62..4..........3.2...38....,847251639139467528562938147256873914914625783378194256623549871485716392791382465,24,1.4
101,..5..6..82.....1....6..8.9.1.8....354...9....3..1...........5.....82.4.1...3..6..,935216748284739156716458392178642935462593817359187264847961523693825471521374689,23,1.2
102,72.......8.....4....6...128...7..84....4..9......1...7.9..4...6.74.2.......18..3.,721854693839261475456973128613795842587432961942618357398547216174326589265189734,24,0.0
103,..158.........7....4...9.......2..1....3..275..7...63...3....6.7..6..8..92..4....,671584329839267541542139786365728914418396275297451638183975462754612893926843157,23,4.5
104,..3.41..........3.1.7....965...9.8..91....6.....1.2.7...........84....2....7.6..5,263941758859267134147853296572694813918375642436182579725438961684519327391726485,23,1.6
105,.....9.....18.7......6..835..9...46.8...6...7.1...4.5....3.2.1.6..1......7.....9.,483259671561837249297641835729518463854963127316724958948372516632195784175486392,24,0.0
106,..1......6...9.4...8...3.7...3..78...6.8...4..9..6....7...5.12...4.....5.2...83..,341786259675291438289543671453917862167825943892364517738459126914632785526178394,24,3.3
107,.46..983.8.....5...7.........94..36...3.7....4..56.....956...........62.....3..4.,546719832831246579972358416159482367683971254427563198395624781714895623268137945,24,0.0
108,..6..9...5..3.......9..86751..49..2....8.3.5.....71..8..4....61..16.....3.....74.,216759834578364912439218675185496327947823156623571498854937261791642583362185749,27,2.5
109,....6.5.......92....2.8..63..32...4......39.574.......1..935....5.1.......8.26...,487362519635719284912584763563297841821643975749851632176935428254178396398426157,25,0.0
110,....6..8...57......7.2..3......3..479..14....2..5.76...3.........8..6..2.9....43.,329465781685713924174298365851639247967142853243587619536924178418376592792851436,24,4.2
111,5....2.9.....9..58.6..1.......85...9..69....47...31...93.6............7.......4.6,584762193271394658369518247423856719156927384798431562937645821642183975815279436,23,0.0
112,...4.9321..3....5.....8.4....1..4......8.5.7...62...1.4.7....3.......2..2.53...47,658479321943126758172583496721964583394815672586237914417652839839741265265398147,26,0.0
113,.....8.4.3.45.2.7.2.......51....43.2........15...9.4..7..4.9....6.2..8....2..3...,615738249394562178287941635179854362846327951523196487738419526461275893952683714,25,2.7
114,........3...62.1...79.3..5..1.....95.8..5...14.2....6.54.2......9.4..8......6....,164597283835624179279138654716842395983756421452319768547283916691475832328961547,24,1.3
115,.2.....17..4..5..8...6..4..8..5...9.61...........4.1..1.9...3.....35.6..2....7.8.,326984517794135268581672439842561793615793842937248156159826374478359621263417985,24,2.9
116,...4.7.6382......9..38..............1....6.85.7..14...2....1....6..5.49.......5..,519427863826135749743869251652398174134276985978514326285941637361752498497683512,23,0.0
117,1......7..4........3.5..9.8.5.1..........7.326.....5..59..3......8.7..2.46..2....,129348675845769213736512948253194867984657132671283594592436781318975426467821359,23,2.6
118,.3.87...4.....2.....2.16.87.7.3...4.6.9....5...1.....25...2..............8..4..9.,135879624867432519492516387278365941649281753351794862513928476924657138786143295,23,1.5
119,.385...2.2....3.5....8..6..7....8395.........5.17....4..3.....9....1623.....74...,438567921216493758957821643762148395384659172591732864673285419845916237129374586,26,0.0
120,.57.618....4.39.........69........65....7.....16..537....21......9...2...6...3.1.,957461823624839751381527694793182465245376189816945372578214936139658247462793518,25,2.8
121,....8....2.......5.9...2.6.......4.65.2.4.......3....1.1.6.8...4..9.7..2......5.9,156783294278496135394512768831279456562841973749365821915628347483957612627134589,22,0.0
122,.....467...8..7.9.6...2..8.4..8.9....815............19..61.5..7..7.....33...4....,295384671138657294674921385463819752981572436752463819826135947547298163319746528,25,0.0
123,...3...15......4784........7...3............1.8.1..263..19.78....4..6.5...2......,627348915139625478458791632716832549243569781985174263361957824894216357572483196,23,0.0
124,.9.47........8....2.8.....6..2.3..6..6.2.1...1.....5.96.7..81..8...1..52.2...7...,395476218416382975278195346752839461964251837183764529637528194849613752521947683,26,2.7
125,..942.........8.75........3.9.......8..19...77.3.....4.....6..836...25......5...9,539427186142638975678519423495873612826194357713265894951746238367982541284351769,23,1.1
126,.....5.1...1.6......6.29..718.....2.9.3.........2..38.7....8.4....3.........768.5,249735618571864932836129457187643529923581764654297381765918243498352176312476895,24,4.1
127,1....4.....6.92...47.3.5.1..54.......21653.7....7...2.5.8....3........48.4.......,195874263386192457472365819754921386821653974639748125568419732917236548243587691,26,0.0
128,.68..9..17...42.9....1.....4...8..76....2....87.4..1..25..7..8....3...........4..,568739241713842695924156738492581376136927854875463129251674983647398512389215467,24,1.2
129,58.....6.....14..3...8.......72...8..5.6...329....3.7...6..2...3...8.4..........6,584329167269714853713865249637291584451678932928453671146532798372986415895147326,23,1.7
130,.....1.48.6..5..........7.5.3..2....9....78.1.......9.358.1.6......4....67.....8.,593671248467258913182394765831925476925467831746183592358719624219846357674532189,23,0.0
131,.8.....94..31....52.....7.....3.8....79.1....1...7........4.....965.3...81....6..,687235194943167285251894736462358917579412368138976542325641879796583421814729653,23,0.0
132,7......4...46..2.8....1..57...8....913.9.....24...7..1...28.6.4.2.......9....5...,712598346594673218863412957675821439138954762249367581351289674427136895986745123,25,1.6
133,..5.8...........7.1.....938...6.1..3..9........2..54..84..196..6..2.7..4.....6...,975183246438962175126754938584621793319478562762395481843519627691237854257846319,24,2.0
134,..15..........63...6..87..1.....1.29.467.9.......48..53.....8........7...95.....3,481532967957416382263987541738651429546729138129348675372165894814293756695874213,24,0.0
135,..14.29...36.9.....52...1..51934......8..93......57...........3.2....87....72....,871432965436591782952876134519348627748269351263157498197685243325914876684723519,26,4.4
136,...86...9.......5..34.1.27...86..7....7..2......98...2.8..9...6.5.......7.2...8.1,275863149819274653634519278928635714367142985541987362483791526156328497792456831,25,0.0
137,.....1.39.67.3....4...6......9..3176.7.6.42...........1.5......29..47..5.......8.,852471639967532841413968527549283176371694258628715493185329764296847315734156982,25,0.0
138,.7...5........86..8......34.....6....5....19.1.4.53.8.....1..4.73...2...6...8..5.,473965812512438679869721534387196425256874193194253786925617348738542961641389257,24,0.0
139,6....1.2...93..8.4.....7...5...2..132.....7....39.......5....62.7...........1.98.,637841529129356874854297631596728413248135796713964258385479162971682345462513987,23,0.0
140,...9...6.....41.....9.25.....85..1..6.......4..4...5277....3.192......8...5..2...,572938461863741952419625378328574196657219834194386527746853219231497685985162743,24,1.2
141,..793...1..........3..7..58.6.5.98..9....1.64..1..6.9.6..8.....1........7.5.....3,287935641519468732436172958364529817952781364871346295643817529198253476725694183,25,1.1
142,....9......95.7.1.3..4......4....1...3.....68..681..4.2....3..74.57..3...9...6..1,154698732629537814387421695842365179531974268976812543268143957415789326793256481,26,1.2
143,......2...9.4.81.....3.......3.9.65..62.....3.4.....8..8..1....7.1..3..5..5..9.6.,354961278297458136618327549173892654862745913549136782986514327721683495435279861,24,1.4
144,7.4..182..9..7......26.31.......7..44......76..1...2.........5...5.3...2....5964.,764591823193872465852643197629387514438125976571964238246718359915436782387259641,26,0.0
145,7.84.....23.1...9..9...3.51...3.6........41..4..29...........6..8....3......87..5,718459236235168794694723851829316547563874129471295683157932468986541372342687915,24,1.3
146,.84..63....95........8......1......5...9358.........3........12..5..74.3..826....,284716359769523148351849276813472965476935821592681734947358612625197483138264597,23,1.1
147,...5...9.6...1....2..3.8.65..8...1..4......82..6...47....7..9.....8.5.243...4....,783564291659217348214398765978452136431679582526183479845726913197835624362941857,25,1.8
148,...6....9.42..3.7..3.....4.6........7.5.94..3.....8.....8...4251...3......4..7...,817645239942183576536729148623571984785294613491368752378916425159432867264857391,23,0.0
149,.....75.69.....1....8..3.....5.....94.....7....9.7..21.7412.......9.......1.6....,123897546947652183658413972765241839412389765839576421374125698586934217291768354,22,2.2
150,4.....7....9.31..8.5...2..6.......5.86..4.3.7...8....9..27.......1..8.......54...,423586791679431528158972436914367852865249317237815649582793164341628975796154283,23,1.2
151,4..5.3.1......87.3.6....2...39....2.6.8.....9....9.4.8............2.4...52..3.97.,497523816215968743863147295139485627648372159752691438384719562976254381521836974,25,1.0
152,62.3..9.8.......2.....856..98.........3.14....52.....9.4..38.16.....18..........2,621347958538196427497285631984572163763914285152863749249738516375621894816459372,25,0.0
153,....1...4......651..4...92..97..61......37...2....5.4.6...9......57.3.1..3....8..,579612384328479651164358927897246135456137298213985746642891573985763412731524869,25,1.3
154,..432.8......7..3...9.5...2......65.57......98.....7......39........8..5.91...4..,754321896128976534369854172912743658576182349843695721685439217437218965291567483,23,1.2
155,5...4......869.3.5.4.....7.....2...16..3.....47.....9.7.....8......86...9..1....3,567243918128697345349518276895724631612359784473861592751432869234986157986175423,23,1.4
156,2...3......59.8.....8....4..5....1..7.6..1..8....2.7.912..4...5.......3...719....,271534896645978312938612547452789163796351428813426759129843675584267931367195284,24,1.6
157,...6.35.4....7....95.2..7..5.9..74.2...4...81.6..2...58.29.6...6..5.....4........,718693524246875319953214768589167432327459681164328975872946153691532847435781296,27,0.0
158,..4.185...3.5...89....7....48..5..6...12...7...7.....53.....6.821...6.9........2.,974618532136542789852973416483759261591264873627831945349127658215486397768395124,26,1.1
159,.........35..7.....21....657...14.....92.8.....4..98......3.91....9.538.......4..,897526143356471298421893765785314629139268574264759831548637912612945387973182456,24,1.3
160,...4.....61..2.5..7.5.3....3..7....6.5......214...8......893.144.......5......8..,293485761614927538785631249329754186856319472147268953572893614468172395931546827,24,1.2
161,...9875..........4..9..6.7..1....9....8.1.2..4..2...8.....691..3..8.....6.14...2.,243987516756132894189546372512678943968314257437295681824769135375821469691453728,25,3.0
162,..1...8.....5.74...4..........7..2.6.35.4..79....69...1....6.....34..58..2..5...7,791324865386597421542618793819735246635842179274169358157286934963471582428953617,25,0.0
163,..6...5......17..2.7...81.6.6.5...1.72..6...........5...9...8..8...41....3.2.....,186392574594617382273458196368574219725169438941823657419736825852941763637285941,23,0.0
164,.6...4..3.54...21.9......5........3..462.3..7..96....28..7.......3.4.1......1..7.,261594783754368219938127456527489631146253897389671542815732964673945128492816375,25,2.5
165,1..8.39...8..47..............81..3...2..9...5...58..7.93....8........69.542......,174853926289647513365219748458172369721396485693584271936721854817435692542968137,24,0.0
166,.....3..515.64.....7..9.1..74891.....2........19.348........4.8...5...6.....2.5..,984173625153642789672895134748916352326758941519234876295367418431589267867421593,26,0.0
167,.2.7.69..1.........4..32..67....31..49..5..3.5..62..........4.....8...7.9.....8.1,325716984169584327847932516786493152492157638513628749278361495651849273934275861,25,0.0
168,.6...8.32.3.4.6.1..4.1..5.....9....3....64.5.....15..6.9.5.3.....2.89.....5.4....,561798432237456918849132567156927843923864751784315296698573124412689375375241689,27,0.0
169,.4..5.7........6.51....9........51..7.5.....2...12...4.2.971...39.8.....4....3...,649258713832714695157639428284395167715486932963127854528971346396842571471563289,24,4.2
170,.1..2.........589.7...9..5396........2.37.4....3........2.....63.4..7......1....7,519823674236745891748691253967458312821379465453216789172984536394567128685132947,23,1.0
171,.6..7.......9..5.....8.5..72...9..7............74.1..8....24.696.2.5.83.91.......,465372981728916543139845627241598376896237415357461298583724169672159834914683752,25,2.2
172,78...........28.3....143.9....67.....9......1.463........2..8..1...8.3.546.......,783965412914728536625143798251674983397852641846391257539216874172489365468537129,24,0.0
173,.8.4...72....215....5......7..16..4.8.......79.2..3.........6....927.3.15........,381456972674921583295837416753162849816594237942783165127345698469278351538619724,24,2.5
174,.....8....3......4.1.2458....3...2....27..3.84.16...5....52........7....8....972.,546398172238167594917245836753984261692751348481632957174523689329876415865419723,25,1.4
175,.18....3.97.2..6...3.19......7.1....2......7....64.3....57...4.....5..1........28,618574239974238651532196487347912865269385174851647392185723946426859713793461528,24,1.3
176,6.....5..594......2.391........2..58....5.3..13...97.2..9.8...6.....3.....164....,617438529594276183283915674746321958928754361135869742459187236862593417371642895,26,0.0
177,6.8.7.9...9..5...4..7.4.21...9.3...172.....9..1.5...43......1...62..........26...,648271935291653874537948216459837621723164598816592743375489162962315487184726359,26,0.0
178,.7..9..21.9...86.48..2.......9.7.....3.5.........26.8........469..3..2..5...4.91.,374695821295718634816234795189473562632581479457926183728159346941367258563842917,26,3.5
179,...9.....96.1.5.7......2.......2.1..4.....9.5.3.67..8.8...4..9...7...6....6...3..,218937546964185273753462819689524137472813965531679482825346791347291658196758324,23,0.0
180,.7.6...59.9..71...6.....1...........2.184....34.92...7.......329..2.4....1......8,174632859893571426625498173759316284261847395348925617486159732937284561512763948,25,2.5
181,..3.6.2......23.6......7..3..68...19.......24.4.......27...49.......9..1.615...4.,183465297597123468624987153756842319319756824842391576278614935435279681961538742,25,1.6
182,76....1.....7.4...3.9....6.....5....61...32......2..73.2....591....19..2........4,764395128182764359359281467237458916618973245495126873823647591546819732971532684,24,1.2
